x,y
1619464552151,22.2
1619464552151,22.2
1619464552151,22.1
1619464552243,22.2
1619464552284,22.2
1619464552284,22.2
1619464552284,22.2
1619464552284,22.2
1619464552324,22.2
1619464552324,22.2
1619464552324,22.1
1619464552363,22.1
1619464552363,22.1
1619464552363,22.1
1619464552363,22.1
1619464552400,22.1
1619464552400,22.1
1619464552400,22.1
1619464552437,22.1
1619464552437,22.1
1619464552437,22.2
1619464552482,22.2
1619464552482,22.2
1619464552523,22.1
1619464552523,22.1
1619464552523,22.1
1619464552561,22.1
1619464552561,22.2
1619464552561,22.2
1619464552562,22.2
1619464552598,22.2
1619464552598,22.2
1619464552598,22.2
1619464552598,22.3
1619464552634,22.3
1619464552634,22.3
1619464552634,22.400000000000002
1619464552672,22.400000000000002
1619464552672,22.400000000000002
1619464552672,22.5
1619464552709,22.5
1619464552709,22.5
1619464552709,22.6
1619464552747,22.6
1619464552747,22.7
1619464552747,22.7
1619464552783,22.8
1619464552783,22.8
1619464552783,22.8
1619464552818,22.8
1619464552818,22.900000000000002
1619464552818,22.900000000000002
1619464552855,22.900000000000002
1619464552855,22.900000000000002
1619464552855,22.900000000000002
1619464552891,22.900000000000002
1619464552891,22.900000000000002
1619464552891,22.8
1619464552929,22.8
1619464552929,22.8
1619464552929,22.8
1619464552966,22.8
1619464552966,22.8
1619464553014,22.8
1619464553014,22.8
1619464553014,22.8
1619464553014,22.8
1619464553053,22.8
1619464553053,22.8
1619464553053,22.8
1619464553088,22.900000000000002
1619464553088,22.900000000000002
1619464553088,22.900000000000002
1619464553088,22.900000000000002
1619464553123,22.900000000000002
1619464553123,22.900000000000002
1619464553123,23
1619464553158,23
1619464553158,23
1619464553158,23
1619464553194,22.900000000000002
1619464553194,22.900000000000002
1619464553194,22.900000000000002
1619464553229,22.8
1619464553229,22.8
1619464553264,22.7
1619464553264,22.6
1619464553264,22.5
1619464553264,22.400000000000002
1619464553302,22.3
1619464553302,22.1
1619464553338,22
1619464553338,21.8
1619464553338,21.7
1619464553374,21.5
1619464553374,21.400000000000002
1619464553374,21.3
1619464553410,21.2
1619464553410,21.1
1619464553410,21.1
1619464553448,21.2
1619464553448,21.2
